# laser_deposition ray paths
# step 0 time 6.91752681e-17 ray_stride 16 ray_step_stride 40
# one row per recorded point; rows are grouped by ray and ordered along the march
# P [W] is the power still carried; ne [m^-3] is at the point; turned = 1 on the step the near-critical specular branch fired
# iray istep x z P ne turned
0 10280 -2.67725309e-05 4.15656621e-05 8.67322268e-22 0.00000000e+00 0
0 10320 -2.67725309e-05 4.24041256e-05 8.67322268e-22 0.00000000e+00 0
0 10360 -2.67725309e-05 4.32425892e-05 8.67322268e-22 0.00000000e+00 0
0 10400 -2.67725310e-05 4.40810528e-05 8.67322268e-22 0.00000000e+00 0
0 10440 -2.67725310e-05 4.49195163e-05 8.67322268e-22 0.00000000e+00 0
0 10480 -2.67725311e-05 4.57579799e-05 8.67322268e-22 0.00000000e+00 0
0 10520 -2.67725311e-05 4.65964434e-05 8.67322268e-22 0.00000000e+00 0
0 10560 -2.67725311e-05 4.74349070e-05 8.67322268e-22 0.00000000e+00 0
0 10600 -2.67725312e-05 4.82733706e-05 8.67322268e-22 0.00000000e+00 0
0 10640 -2.67725312e-05 4.91118341e-05 8.67322268e-22 0.00000000e+00 0
0 10680 -2.67725312e-05 4.99502977e-05 8.67322268e-22 0.00000000e+00 0
0 10720 -2.67725313e-05 5.07887613e-05 8.67322268e-22 0.00000000e+00 0
0 10760 -2.67725313e-05 5.16272248e-05 8.67322268e-22 0.00000000e+00 0
0 10800 -2.67725314e-05 5.24656884e-05 8.67322268e-22 0.00000000e+00 0
0 10840 -2.67725314e-05 5.33041520e-05 8.67322268e-22 0.00000000e+00 0
0 10880 -2.67725314e-05 5.41426155e-05 8.67322268e-22 0.00000000e+00 0
0 10920 -2.67725315e-05 5.49810791e-05 8.67322268e-22 0.00000000e+00 0
0 10960 -2.67725315e-05 5.58195427e-05 8.67322268e-22 0.00000000e+00 0
0 11000 -2.67725315e-05 5.66580062e-05 8.67322268e-22 0.00000000e+00 0
0 11040 -2.67725316e-05 5.74964698e-05 8.67322268e-22 0.00000000e+00 0
0 11080 -2.67725316e-05 5.83349334e-05 8.67322268e-22 0.00000000e+00 0
0 11120 -2.67725317e-05 5.91733969e-05 8.67322268e-22 0.00000000e+00 0
0 11160 -2.67725317e-05 6.00118605e-05 8.67322268e-22 0.00000000e+00 0
0 11200 -2.67725317e-05 6.08503241e-05 8.67322268e-22 0.00000000e+00 0
0 11240 -2.67725318e-05 6.16887876e-05 8.67322268e-22 0.00000000e+00 0
0 11280 -2.67725318e-05 6.25272512e-05 8.67322268e-22 0.00000000e+00 0
0 11320 -2.67725318e-05 6.33657148e-05 8.67322268e-22 0.00000000e+00 0
0 11360 -2.67725319e-05 6.42041783e-05 8.67322268e-22 0.00000000e+00 0
0 11400 -2.67725319e-05 6.50426419e-05 8.67322268e-22 0.00000000e+00 0
0 11440 -2.67725320e-05 6.58811055e-05 8.67322268e-22 0.00000000e+00 0
0 11480 -2.67725320e-05 6.67195690e-05 8.67322268e-22 0.00000000e+00 0
0 11520 -2.67725320e-05 6.75580326e-05 8.67322268e-22 0.00000000e+00 0
0 11560 -2.67725321e-05 6.83964962e-05 8.67322268e-22 0.00000000e+00 0
0 11600 -2.67725321e-05 6.92349597e-05 8.67322268e-22 0.00000000e+00 0
0 11640 -2.67725321e-05 7.00734233e-05 8.67322268e-22 0.00000000e+00 0
0 11680 -2.67725322e-05 7.09118869e-05 8.67322268e-22 0.00000000e+00 0
0 11720 -2.67725322e-05 7.17503504e-05 8.67322268e-22 0.00000000e+00 0
0 11760 -2.67725322e-05 7.25888140e-05 8.67322268e-22 0.00000000e+00 0
0 11800 -2.67725323e-05 7.34272776e-05 8.67322268e-22 0.00000000e+00 0
0 11840 -2.67725323e-05 7.42657411e-05 8.67322268e-22 0.00000000e+00 0
0 11880 -2.67725324e-05 7.51042047e-05 8.67322268e-22 0.00000000e+00 0
0 11920 -2.67725324e-05 7.59426683e-05 8.67322268e-22 0.00000000e+00 0
