# refraction=1, step 0, on-axis |x|<5 d_e
# z/d_e   P_abs [W/m^3]   n_e/n_cr
-7.2500000e+00  0.0000000e+00  1.4996879e+00
-6.7500000e+00  0.0000000e+00  1.4996254e+00
-6.2500000e+00  0.0000000e+00  1.4999446e+00
-5.7500000e+00  0.0000000e+00  1.4995865e+00
-5.2500000e+00  0.0000000e+00  1.5000388e+00
-4.7500000e+00  0.0000000e+00  1.4997521e+00
-4.2500000e+00  0.0000000e+00  1.4995640e+00
-3.7500000e+00  0.0000000e+00  1.4996791e+00
-3.2500000e+00  0.0000000e+00  1.4997584e+00
-2.7500000e+00  0.0000000e+00  1.4999428e+00
-2.2500000e+00  0.0000000e+00  1.4996531e+00
-1.7500000e+00  0.0000000e+00  1.4998657e+00
-1.2500000e+00  0.0000000e+00  1.4996722e+00
-7.5000000e-01  0.0000000e+00  1.4996659e+00
-2.5000000e-01  0.0000000e+00  1.4998529e+00
 2.5000000e-01  0.0000000e+00  1.4997868e+00
 7.5000000e-01  0.0000000e+00  1.4994297e+00
 1.2500000e+00  0.0000000e+00  1.4995328e+00
 1.7500000e+00  0.0000000e+00  1.4984804e+00
 2.2500000e+00  0.0000000e+00  1.4974630e+00
 2.7500000e+00  0.0000000e+00  1.4967163e+00
 3.2500000e+00  0.0000000e+00  1.4954083e+00
 3.7500000e+00  0.0000000e+00  1.4938269e+00
 4.2500000e+00  0.0000000e+00  1.4923943e+00
 4.7500000e+00  0.0000000e+00  1.4903934e+00
 5.2500000e+00  0.0000000e+00  1.4883861e+00
 5.7500000e+00  0.0000000e+00  1.4856322e+00
 6.2500000e+00  0.0000000e+00  1.4837009e+00
 6.7500000e+00  0.0000000e+00  1.4810629e+00
 7.2500000e+00  0.0000000e+00  1.4780117e+00
 7.7500000e+00  0.0000000e+00  1.4746261e+00
 8.2500000e+00  0.0000000e+00  1.4720739e+00
 8.7500000e+00  0.0000000e+00  1.4678455e+00
 9.2500000e+00  0.0000000e+00  1.4648046e+00
 9.7500000e+00  0.0000000e+00  1.4605840e+00
 1.0250000e+01  0.0000000e+00  1.4565879e+00
 1.0750000e+01  0.0000000e+00  1.4522381e+00
 1.1250000e+01  0.0000000e+00  1.4481600e+00
 1.1750000e+01  0.0000000e+00  1.4433327e+00
 1.2250000e+01  0.0000000e+00  1.4386197e+00
 1.2750000e+01  0.0000000e+00  1.4336432e+00
 1.3250000e+01  0.0000000e+00  1.4283777e+00
 1.3750000e+01  0.0000000e+00  1.4227002e+00
 1.4250000e+01  0.0000000e+00  1.4177708e+00
 1.4750000e+01  0.0000000e+00  1.4117044e+00
 1.5250000e+01  0.0000000e+00  1.4060013e+00
 1.5750000e+01  0.0000000e+00  1.3998667e+00
 1.6250000e+01  0.0000000e+00  1.3936107e+00
 1.6750000e+01  0.0000000e+00  1.3874645e+00
 1.7250000e+01  0.0000000e+00  1.3805592e+00
 1.7750000e+01  0.0000000e+00  1.3740656e+00
 1.8250000e+01  0.0000000e+00  1.3674071e+00
 1.8750000e+01  0.0000000e+00  1.3600991e+00
 1.9250000e+01  0.0000000e+00  1.3532128e+00
 1.9750000e+01  0.0000000e+00  1.3457653e+00
 2.0250000e+01  0.0000000e+00  1.3382978e+00
 2.0750000e+01  0.0000000e+00  1.3307211e+00
 2.1250000e+01  0.0000000e+00  1.3229548e+00
 2.1750000e+01  0.0000000e+00  1.3148071e+00
 2.2250000e+01  0.0000000e+00  1.3070507e+00
 2.2750000e+01  0.0000000e+00  1.2991836e+00
 2.3250000e+01  0.0000000e+00  1.2907527e+00
 2.3750000e+01  0.0000000e+00  1.2821622e+00
 2.4250000e+01  0.0000000e+00  1.2739039e+00
 2.4750000e+01  0.0000000e+00  1.2647985e+00
 2.5250000e+01  0.0000000e+00  1.2565652e+00
 2.5750000e+01  0.0000000e+00  1.2475736e+00
 2.6250000e+01  0.0000000e+00  1.2384900e+00
 2.6750000e+01  0.0000000e+00  1.2293773e+00
 2.7250000e+01  0.0000000e+00  1.2201736e+00
 2.7750000e+01  0.0000000e+00  1.2109456e+00
 2.8250000e+01  0.0000000e+00  1.2016603e+00
 2.8750000e+01  0.0000000e+00  1.1921510e+00
 2.9250000e+01  0.0000000e+00  1.1824896e+00
 2.9750000e+01  0.0000000e+00  1.1726211e+00
 3.0250000e+01  0.0000000e+00  1.1632174e+00
 3.0750000e+01  0.0000000e+00  1.1533937e+00
 3.1250000e+01  0.0000000e+00  1.1434225e+00
 3.1750000e+01  0.0000000e+00  1.1336319e+00
 3.2250000e+01  0.0000000e+00  1.1235886e+00
 3.2750000e+01  0.0000000e+00  1.1129748e+00
 3.3250000e+01  0.0000000e+00  1.1033613e+00
